Subject1(30),Assignment-subject1(20),Subject2(30),Assignment-subject2(20),Subject3(30),Assignment-subject3(20),Subject4(30),Assignment-subject4(20),Subject5(30),Assignment-subject5(20),CGPA,SGPA
26,16,25,10,16,20,25,19,25,13,8.0,8.648561542377081
15,11,19,14,24,16,22,16,24,14,7.0,7.48428403232115
28,10,16,13,27,17,19,13,25,17,7.8,7.582894088997622
28,13,29,11,18,16,26,14,20,19,7.2,7.426131520503416
30,15,26,20,21,20,16,20,26,14,7.8,7.216377892737552
29,17,21,12,18,10,25,11,28,19,8.2,8.888791780270505
28,12,16,14,15,19,27,13,24,18,6.8,6.91924420277108
21,11,24,16,20,12,25,19,16,18,7.2,7.362713590345137
26,15,25,14,23,15,19,13,25,13,8.0,8.210327377425989
21,17,30,15,27,13,29,11,26,10,6.8,6.931930984175549
25,13,29,11,15,18,15,11,24,13,7.0,7.217889463515171
20,16,16,10,15,18,28,15,27,13,7.2,7.394946086044452
22,11,21,18,29,17,20,18,30,10,7.8,7.0778162543340795
15,19,28,18,18,11,19,18,24,18,8.0,8.671759904663407
21,17,22,19,26,17,18,15,29,19,8.6,8.11583952062081
28,16,29,10,17,10,22,10,29,18,8.0,8.682849684952512
15,11,20,16,23,11,15,14,27,18,6.6,6.987442566260181
23,20,17,16,15,14,30,19,28,19,8.4,8.476340390051684
24,19,18,10,20,18,28,11,24,19,8.0,8.254652444135514
21,16,26,10,30,10,20,11,19,19,7.4,7.00077985408967
26,12,27,17,29,16,20,16,27,12,7.8,7.334917940821483
21,16,26,10,15,20,24,13,23,13,7.6,7.082869144463194
15,13,27,17,15,19,15,11,21,18,7.2,7.814080935740294
29,19,25,14,23,12,27,11,20,10,7.6,7.258742834510834
22,10,16,11,20,11,28,14,16,15,7.2,7.065793642110701
30,11,30,14,24,12,29,17,30,18,9.2,9.721062599986718
27,14,28,13,19,16,30,14,20,10,7.8,7.674931723491848
27,16,21,14,28,19,30,18,30,14,8.8,8.294991750784728
28,20,30,14,25,15,18,10,25,16,8.0,8.617756136454936
23,10,21,18,16,12,22,17,27,16,7.6,7.193182124255985
15,14,20,17,16,16,24,15,30,16,7.8,7.794815799786461
23,11,25,13,27,15,16,13,30,14,7.8,7.99641344049516
28,16,25,18,21,15,23,16,16,19,8.0,8.389412802065573
20,14,30,15,18,18,29,17,20,19,7.8,7.585068365120465
20,13,15,19,25,19,18,17,20,12,7.2,7.663144918799736
28,17,26,16,26,10,16,18,23,18,7.8,7.974061879064841
26,16,15,20,28,17,16,12,28,19,7.4,7.440662640399558
24,12,28,14,22,18,23,17,26,11,7.4,7.289725639369162
20,11,19,12,21,13,27,18,25,15,6.6,6.346521067171109
30,15,17,12,30,14,28,15,25,16,7.8,7.735998087218812
29,10,17,16,25,10,27,19,15,17,7.6,7.356156526633841
26,16,29,16,23,11,21,20,24,10,7.6,7.772430756956428
30,20,22,11,24,10,30,14,26,15,8.4,8.831531484524158
19,11,29,10,22,10,16,15,15,18,7.0,7.370628020207829
29,11,27,12,16,11,19,11,28,18,7.2,7.702299200416412
18,16,25,15,26,20,28,13,25,17,8.2,8.313389432023186
25,19,28,16,26,16,17,15,21,11,8.2,8.9186634148599
28,13,25,12,30,15,24,20,22,15,8.0,8.09090016330762
30,10,29,17,20,15,21,15,28,20,8.0,8.042930053948576
16,16,16,12,25,12,27,14,25,16,7.8,7.286607540676249
20,13,17,10,23,17,17,20,29,18,7.4,7.428960484342075
16,18,23,14,27,20,20,13,21,17,8.0,8.386302820120893
21,19,19,16,16,14,29,18,15,14,6.8,6.030463442565608
27,10,22,14,23,20,27,19,30,10,8.2,8.973902650690475
23,18,30,16,24,20,27,19,23,10,9.0,9.337722927415713
21,13,26,13,15,19,27,10,19,11,7.2,7.797403685852271
20,16,26,19,20,20,29,13,28,12,7.0,7.959556748633138
23,11,15,16,29,20,16,15,28,16,8.0,8.083063502049677
